
2024/03/20 (20:41:13) | INFO: Quitting! Runtime: 00:00:24

2024/03/24 (21:27:43) | ===> btop++ v.1.3.2
2024/03/24 (21:27:43) | INFO: Logger set to DEBUG
2024/03/24 (21:27:43) | DEBUG: Using locale C.UTF-8
2024/03/24 (21:27:43) | INFO: Running on /dev/pts/0
2024/03/24 (21:27:43) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/24 (21:27:43) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/24 (21:27:43) | DEBUG: Shared::init() : Initialized.
2024/03/24 (21:28:06) | INFO: Quitting! Runtime: 00:00:23

2024/03/24 (21:40:13) | ===> btop++ v.1.3.2
2024/03/24 (21:40:13) | INFO: Logger set to DEBUG
2024/03/24 (21:40:13) | DEBUG: Using locale C.UTF-8
2024/03/24 (21:40:13) | INFO: Running on /dev/pts/0
2024/03/24 (21:40:13) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/24 (21:40:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/24 (21:40:13) | DEBUG: Shared::init() : Initialized.

2024/03/29 (19:22:52) | ===> btop++ v.1.3.2
2024/03/29 (19:22:52) | INFO: Logger set to DEBUG
2024/03/29 (19:22:52) | DEBUG: Using locale C.UTF-8
2024/03/29 (19:22:52) | INFO: Running on /dev/pts/0
2024/03/29 (19:22:52) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/29 (19:22:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/29 (19:22:52) | DEBUG: Shared::init() : Initialized.

2024/03/30 (20:38:45) | ===> btop++ v.1.3.2
2024/03/30 (20:38:45) | INFO: Logger set to DEBUG
2024/03/30 (20:38:45) | DEBUG: Using locale C.UTF-8
2024/03/30 (20:38:45) | INFO: Running on /dev/pts/0
2024/03/30 (20:38:46) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/30 (20:38:46) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/30 (20:38:46) | DEBUG: Shared::init() : Initialized.

2024/03/31 (21:05:10) | ===> btop++ v.1.3.2
2024/03/31 (21:05:10) | INFO: Logger set to DEBUG
2024/03/31 (21:05:10) | DEBUG: Using locale C.UTF-8
2024/03/31 (21:05:10) | INFO: Running on /dev/pts/0
2024/03/31 (21:05:10) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/31 (21:05:10) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/31 (21:05:10) | DEBUG: Shared::init() : Initialized.

2024/04/02 (21:39:56) | ===> btop++ v.1.3.2
2024/04/02 (21:39:56) | INFO: Logger set to DEBUG
2024/04/02 (21:39:56) | DEBUG: Using locale C.UTF-8
2024/04/02 (21:39:56) | INFO: Running on /dev/pts/1
2024/04/02 (21:39:56) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/04/02 (21:39:56) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/04/02 (21:39:56) | DEBUG: Shared::init() : Initialized.
2024/04/02 (21:40:52) | DEBUG: Writing new config file
2024/04/02 (21:40:52) | INFO: Quitting! Runtime: 00:00:56

2024/04/11 (21:18:01) | ===> btop++ v.1.3.2
2024/04/11 (21:18:01) | INFO: Logger set to DEBUG
2024/04/11 (21:18:01) | DEBUG: Using locale C.UTF-8
2024/04/11 (21:18:01) | INFO: Running on /dev/pts/0
2024/04/11 (21:18:01) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/04/11 (21:18:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/04/11 (21:18:01) | DEBUG: Shared::init() : Initialized.
2024/04/11 (21:18:47) | DEBUG: Writing new config file
2024/04/11 (21:18:47) | INFO: Quitting! Runtime: 00:00:46

2024/04/27 (22:03:58) | ===> btop++ v.1.3.2
2024/04/27 (22:03:58) | INFO: Logger set to DEBUG
2024/04/27 (22:03:58) | DEBUG: Using locale C.UTF-8
2024/04/27 (22:03:58) | INFO: Running on /dev/pts/1
2024/04/27 (22:03:58) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/04/27 (22:03:58) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/04/27 (22:03:58) | DEBUG: Shared::init() : Initialized.
2024/04/27 (22:04:11) | INFO: Quitting! Runtime: 00:00:13

2024/05/01 (20:08:26) | ===> btop++ v.1.3.2
2024/05/01 (20:08:26) | INFO: Logger set to DEBUG
2024/05/01 (20:08:26) | DEBUG: Using locale C.UTF-8
2024/05/01 (20:08:26) | INFO: Running on /dev/pts/1
